season_id,match_id,slug,title,time_of_day,date,time,status,status_description,winner_team_id,toss_winner_team_id,toss_choice,ground_id,team_1_id,team_2_id,team_1_score,team_1_scoreInfo,team_2_scoreInfo
15946,113487,united-states-of-america-vs-canada-1st-match-group-a,"1st Match, Group A",night,2024-06-01,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3640,11,17,,,
15946,113488,west-indies-vs-papua-new-guinea-2nd-match-group-c,"2nd Match, Group C",day,2024-06-02,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,4,20,,,
15946,113489,namibia-vs-oman-3rd-match-group-b,"3rd Match, Group B",night,2024-06-02,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,28,37,,,
15946,113490,sri-lanka-vs-south-africa-4th-match-group-d,"4th Match, Group D",day,2024-06-03,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,8,3,,,
15946,113491,afghanistan-vs-uganda-5th-match-group-c,"5th Match, Group C",night,2024-06-03,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,40,34,,,
15946,113492,england-vs-scotland-6th-match-group-b,"6th Match, Group B",day,2024-06-04,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,1,30,,,
15946,113493,netherlands-vs-nepal-7th-match-group-d,"7th Match, Group D",day,2024-06-04,21:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3640,15,32,,,
15946,113494,india-vs-ireland-8th-match-group-a,"8th Match, Group A",day,2024-06-05,19:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,6,29,,,
15946,113495,papua-new-guinea-vs-uganda-9th-match-group-c,"9th Match, Group C",night,2024-06-05,05:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,20,34,,,
15946,113496,australia-vs-oman-10th-match-group-b,"10th Match, Group B",night,2024-06-05,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,2,37,,,
15946,113497,united-states-of-america-vs-pakistan-11th-match-group-a,"11th Match, Group A",day,2024-06-06,21:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3640,11,7,,,
15946,113498,namibia-vs-scotland-12th-match-group-b,"12th Match, Group B",day,2024-06-06,00:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,28,30,,,
15946,113499,canada-vs-ireland-13th-match-group-a,"13th Match, Group A",day,2024-06-07,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,17,29,,,
15946,113500,afghanistan-vs-new-zealand-14th-match-group-c,"14th Match, Group C",night,2024-06-07,05:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,40,5,,,
15946,113501,bangladesh-vs-sri-lanka-15th-match-group-d,"15th Match, Group D",night,2024-06-07,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3640,25,8,,,
15946,113502,netherlands-vs-south-africa-16th-match-group-d,"16th Match, Group D",day,2024-06-08,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,15,3,,,
15946,113503,australia-vs-england-17th-match-group-b,"17th Match, Group B",day,2024-06-08,22:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,2,1,,,
15946,113504,west-indies-vs-uganda-18th-match-group-c,"18th Match, Group C",night,2024-06-08,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,4,34,,,
15946,113505,india-vs-pakistan-19th-match-group-a,"19th Match, Group A",day,2024-06-09,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,6,7,,,
15946,113506,oman-vs-scotland-20th-match-group-b,"20th Match, Group B",day,2024-06-09,22:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,37,30,,,
15946,113507,bangladesh-vs-south-africa-21st-match-group-d,"21st Match, Group D",day,2024-06-10,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,25,3,,,
15946,113508,canada-vs-pakistan-22nd-match-group-a,"22nd Match, Group A",day,2024-06-11,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,17,7,,,
15946,113509,nepal-vs-sri-lanka-23rd-match-group-d,"23rd Match, Group D",night,2024-06-11,05:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2405,32,8,,,
15946,113510,australia-vs-namibia-24th-match-group-b,"24th Match, Group B",night,2024-06-11,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,2,28,,,
